Object_Name	Object_Type
JAPAN Offshore 100m 837 42.5 143.75 100M Generator HWST	Generator
JAPAN Offshore 100m 837 42.5 143.75 100M Generator HWST Hub Height	Variable
JAPAN Offshore 100m 837 42.5 143.75 100M Generator HWST CRF	Variable
JAPAN Offshore 100m 837 42.5 143.75 100M Windspeed	Variable
JAPAN Offshore 100m 837 42.5 143.75 100M HHxWS	Variable
JAPAN Offshore 100m 837 42.5 143.75 100M HHxWSc	Variable
JAPAN Offshore 100m 837 42.5 143.75 100M HHc	Variable
JAPAN Offshore 100m 837 42.5 143.75 100M WSc	Variable
JAPAN Offshore 100m 837 42.5 143.75 100M HHxWSc+HHc	Variable
JAPAN Offshore 100m 837 42.5 143.75 100M HHxWSc+HHc+WSc	Variable
JAPAN Offshore 100m 837 42.5 143.75 100M HHxWSc+HHc+WSc+C	Variable
JAPAN Offshore 100m 837 42.5 143.75 130M Generator LWST	Generator
JAPAN Offshore 100m 837 42.5 143.75 130M Generator LWST Hub Height	Variable
JAPAN Offshore 100m 837 42.5 143.75 130M Generator LWST CRF	Variable
JAPAN Offshore 100m 837 42.5 143.75 130M Generator NWST	Generator
JAPAN Offshore 100m 837 42.5 143.75 130M Generator NWST Hub Height	Variable
JAPAN Offshore 100m 837 42.5 143.75 130M Generator NWST CRF	Variable
JAPAN Offshore 100m 837 42.5 143.75 130M Generator HWST	Generator
JAPAN Offshore 100m 837 42.5 143.75 130M Generator HWST Hub Height	Variable
JAPAN Offshore 100m 837 42.5 143.75 130M Generator HWST CRF	Variable
JAPAN Offshore 100m 837 42.5 143.75 130M Windspeed	Variable
JAPAN Offshore 100m 837 42.5 143.75 130M HHxWS	Variable
JAPAN Offshore 100m 837 42.5 143.75 130M HHxWSc	Variable
JAPAN Offshore 100m 837 42.5 143.75 130M HHc	Variable
JAPAN Offshore 100m 837 42.5 143.75 130M WSc	Variable
JAPAN Offshore 100m 837 42.5 143.75 130M HHxWSc+HHc	Variable
JAPAN Offshore 100m 837 42.5 143.75 130M HHxWSc+HHc+WSc	Variable
JAPAN Offshore 100m 837 42.5 143.75 130M HHxWSc+HHc+WSc+C	Variable
JAPAN Offshore 100m 837 42.5 143.75 160M Generator LWST	Generator
JAPAN Offshore 100m 837 42.5 143.75 160M Generator LWST Hub Height	Variable
JAPAN Offshore 100m 837 42.5 143.75 160M Generator LWST CRF	Variable
JAPAN Offshore 100m 837 42.5 143.75 160M Generator NWST	Generator
JAPAN Offshore 100m 837 42.5 143.75 160M Generator NWST Hub Height	Variable
JAPAN Offshore 100m 837 42.5 143.75 160M Generator NWST CRF	Variable
JAPAN Offshore 100m 837 42.5 143.75 160M Generator HWST	Generator
JAPAN Offshore 100m 837 42.5 143.75 160M Generator HWST Hub Height	Variable
JAPAN Offshore 100m 837 42.5 143.75 160M Generator HWST CRF	Variable
JAPAN Offshore 100m 837 42.5 143.75 160M Windspeed	Variable
JAPAN Offshore 100m 837 42.5 143.75 160M HHxWS	Variable
JAPAN Offshore 100m 837 42.5 143.75 160M HHxWSc	Variable
JAPAN Offshore 100m 837 42.5 143.75 160M HHc	Variable
JAPAN Offshore 100m 837 42.5 143.75 160M WSc	Variable
JAPAN Offshore 100m 837 42.5 143.75 160M HHxWSc+HHc	Variable
JAPAN Offshore 100m 837 42.5 143.75 160M HHxWSc+HHc+WSc	Variable
JAPAN Offshore 100m 837 42.5 143.75 160M HHxWSc+HHc+WSc+C	Variable
JAPAN Offshore 100m 837 42.5 143.75 Windspeed	Variable
JAPAN Offshore 100m 837 42.5 143.75 File	DataSource
JAPAN Offshore 100m 837 42.5 143.75 TS	DBTimeSeries
JAPAN Offshore 100m 840 42.5 145.625 WSc	Variable
JAPAN Offshore 100m 840 42.5 145.625 Base Wind Speed	Variable
JAPAN Offshore 100m 840 42.5 145.625 100M Generator LWST	Generator
JAPAN Offshore 100m 840 42.5 145.625 100M Generator LWST Hub Height	Variable
JAPAN Offshore 100m 840 42.5 145.625 100M Generator LWST CRF	Variable
JAPAN Offshore 100m 840 42.5 145.625 100M Generator NWST	Generator
JAPAN Offshore 100m 840 42.5 145.625 100M Generator NWST Hub Height	Variable
JAPAN Offshore 100m 840 42.5 145.625 100M Generator NWST CRF	Variable
JAPAN Offshore 100m 840 42.5 145.625 100M Generator HWST	Generator
JAPAN Offshore 100m 840 42.5 145.625 100M Generator HWST Hub Height	Variable
JAPAN Offshore 100m 840 42.5 145.625 100M Generator HWST CRF	Variable
JAPAN Offshore 100m 840 42.5 145.625 100M Windspeed	Variable
JAPAN Offshore 100m 840 42.5 145.625 100M HHxWS	Variable
JAPAN Offshore 100m 840 42.5 145.625 100M HHxWSc	Variable
JAPAN Offshore 100m 840 42.5 145.625 100M HHc	Variable
JAPAN Offshore 100m 840 42.5 145.625 100M WSc	Variable
JAPAN Offshore 100m 840 42.5 145.625 100M HHxWSc+HHc	Variable
JAPAN Offshore 100m 840 42.5 145.625 100M HHxWSc+HHc+WSc	Variable
JAPAN Offshore 100m 840 42.5 145.625 100M HHxWSc+HHc+WSc+C	Variable
JAPAN Offshore 100m 840 42.5 145.625 130M Generator LWST	Generator
JAPAN Offshore 100m 840 42.5 145.625 130M Generator LWST Hub Height	Variable
JAPAN Offshore 100m 840 42.5 145.625 130M Generator LWST CRF	Variable
JAPAN Offshore 100m 840 42.5 145.625 130M Generator NWST	Generator
JAPAN Offshore 100m 840 42.5 145.625 130M Generator NWST Hub Height	Variable
JAPAN Offshore 100m 840 42.5 145.625 130M Generator NWST CRF	Variable
JAPAN Offshore 100m 840 42.5 145.625 130M Generator HWST	Generator
JAPAN Offshore 100m 840 42.5 145.625 130M Generator HWST Hub Height	Variable
